date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
1/1/2012,ISR,ILS,Israel,15.9,3.8485,4.131479797,28685.616,3.898166411,0.20152,0.02385,0.17588,0.15963,0.20581
1/1/2012,JPN,JPY,Japan,320,76.92,4.160166407,42820.392,4.551833031,0.03612,-0.11709,0.01401,0,0.03982
1/1/2012,MYS,MYR,Malaysia,7.35,3.13955,2.341099839,8423.176,2.961124278,-0.10371,-0.23624,-0.12284,-0.13495,-0.10051
1/1/2012,MEX,MXN,Mexico,37,13.6844,2.703808716,9565.962,3.013972732,0.017,-0.13338,-0.0047,-0.01845,0.02063
1/1/2012,NZL,NZD,New Zealand,5.1,1.26000126,4.047615,32145.233,4.058157355,0.13072,-0.03647,0.10659,0.0913,0.13476
1/1/2012,NOR,NOK,Norway,41,6.0399,6.788191857,84443.634,6.476711352,0.18818,0.01249,0.16283,0.14677,0.19243
1/1/2012,PAK,PKR,Pakistan,260,90.05,2.887284842,1049.749,2.62013811,0.24925,0.06453,0.2226,0.20571,0.25371
1/1/2012,PER,PEN,Peru,10,2.6925,3.714020427,5171.651,2.810756606,0.49798,0.27648,0.46602,0.44576,0.50333
1/1/2012,PHL,PHP,Philippines,118,44.005,2.681513464,2007.362,2.664423187,0.14094,-0.02777,0.11659,0.10116,0.14501
1/1/2012,POL,PLN,Poland,9.1,3.52045,2.584896817,12300.126,3.140414901,-0.06687,-0.20485,-0.08678,-0.0994,-0.06354
1/1/2012,RUS,RUB,Russia,81,31.7693,2.549631248,10437.49,3.054276785,-0.05365,-0.19358,-0.07384,-0.08663,-0.05027
1/1/2012,SAU,SAR,Saudi Arabia,10,3.7502,2.666524452,16995.78,3.357566717,-0.09966,-0.23279,-0.11887,-0.13105,-0.09645
1/1/2012,SGP,SGD,Singapore,4.85,1.2928,3.75154703,43116.689,4.565535367,-0.06846,-0.2062,-0.08833,-0.10093,-0.06513
1/1/2012,ZAF,ZAR,South Africa,19.95,8.1304,2.453753813,7157.801,2.902606661,-0.04164,-0.18335,-0.06209,-0.07505,-0.03822
1/1/2012,KOR,KRW,South Korea,3700,1158.75,3.193096009,20590.962,3.523826901,0.02726,-0.12463,0.00535,-0.00854,0.03093
1/1/2012,SWE,SEK,Sweden,41,6.9338,5.913063544,48874.608,4.831811922,0.38735,0.18221,0.35775,0.33899,0.39231
1/1/2012,CHE,CHF,Switzerland,6.5,0.9551,6.805570097,67245.997,5.681401879,0.35798,0.15718,0.32901,0.31064,0.36283
1/1/2012,TWN,TWD,Taiwan,75,29.9795,2.501709501,18457.752,3.425176016,-0.17198,-0.29442,-0.18965,-0.20085,-0.16903
1/1/2012,THA,THB,Thailand,78,31.75,2.456692913,4991.525,2.802426629,-0.0062,-0.15314,-0.0274,-0.04084,-0.00265
1/1/2012,TUR,TRY,Turkey,6.6,1.86295,3.54276819,10398.685,3.052482237,0.31575,0.1212,0.28768,0.26989,0.32045
1/1/2012,USA,USD,United States,4.19722,1,4.19722,47283.633,4.758236843,0,-0.14786,-0.02134,-0.03486,0.00357
7/1/2012,ARG,ARS,Argentina,19,4.56625,4.160963592,9138.177,3.005568009,0.48886,0.34071,0.38747,0.50965,0.5824
7/1/2012,AUS,AUD,Australia,4.56,0.974326497,4.680155999,55589.549,5.012892059,0.00406,-0.09585,-0.06432,0.01808,0.06714
7/1/2012,BRA,BRL,Brazil,10.08,2.04215,4.935974341,10816.487,3.078093574,0.72456,0.55296,0.60711,0.74864,0.83291
7/1/2012,GBR,GBP,Britain,2.69,0.646266197,4.1623715,36119.846,4.171539018,0.07308,-0.0337,0,0.08806,0.1405
7/1/2012,CAN,CAD,Canada,5.12,1.01945,5.022315955,46214.914,4.607781736,0.17219,0.05555,0.09236,0.18856,0.24584
7/1/2012,CHL,CLP,Chile,2050,493.05,4.157793327,11827.958,3.121802726,0.43233,0.28981,0.33479,0.45233,0.52232
7/1/2012,CHN,CNY,China,15.65,6.3885,2.44971433,4382.136,2.800043068,-0.05911,-0.15274,-0.12319,-0.04597,0
7/1/2012,COL,COP,Colombia,8600,1804.475,4.765929148,6273.372,2.8817699,0.77858,0.60161,0.65746,0.80342,0.89033
7/1/2012,CZE,CZK,Czech Republic,70.33,21.048,3.34141011,18288.284,3.400975702,0.0566,-0.04853,-0.01535,0.07136,0.12299
7/1/2012,DNK,DKK,Denmark,28.5,6.1356,4.645022492,56147.143,5.03698762,-0.00825,-0.10693,-0.07579,0.0056,0.05406
7/1/2012,EGY,EGP,Egypt,16,6.0665,2.637435094,2788.829,2.731190775,0.03852,-0.06481,-0.0322,0.05303,0.10377
7/1/2012,EUZ,EUR,Euro area,3.583482241,0.824844311,4.344434693,36947,4.207283196,0.1105,0,0.03487,0.12601,0.18027
7/1/2012,HKG,HKD,Hong Kong,16.5,7.75815,2.126795692,31590.681,3.975818172,-0.42471,-0.48195,-0.46389,-0.41668,-0.38857
7/1/2012,HUN,HUF,Hungary,830,238.2151,3.484245961,12879.296,3.167234668,0.18308,0.06536,0.10251,0.1996,0.25741
7/1/2012,IND,INR,India,89,56.165,1.584616754,1264.839,2.665333909,-0.36062,-0.42424,-0.40416,-0.35169,-0.32045
7/1/2012,IDN,IDR,Indonesia,24200,9482.5,2.552069602,3015.374,2.740980566,0.00132,-0.09831,-0.06687,0.0153,0.06423
7/1/2012,ISR,ILS,Israel,11.9,4.07625,2.919349893,28685.616,3.85028029,-0.18458,-0.26572,-0.24011,-0.1732,-0.13335
7/1/2012,JPN,JPY,Japan,320,78.22,4.091025313,42820.392,4.461092729,-0.01377,-0.11191,-0.08093,0,0.04819
7/1/2012,MYS,MYR,Malaysia,7.4,3.1735,2.331810304,8423.176,2.974670349,-0.15698,-0.24086,-0.21438,-0.1452,-0.10401
7/1/2012,MEX,MXN,Mexico,37,13.687,2.703295098,9565.962,3.024054074,-0.03863,-0.13429,-0.1041,-0.02521,0.02177
7/1/2012,NZL,NZD,New Zealand,5.1,1.273560876,4.004520001,32145.233,3.999782277,0.07671,-0.03042,0.00339,0.09175,0.14436
7/1/2012,NOR,NOK,Norway,43,6.09205,7.058379363,84443.634,6.259776624,0.21264,0.09198,0.13006,0.22958,0.28883
7/1/2012,PAK,PKR,Pakistan,285,94.605,3.012525765,1049.749,2.656039128,0.21978,0.09841,0.13672,0.23682,0.29642
7/1/2012,PHL,PHP,Philippines,118,42.2,2.796208531,2007.362,2.69742089,0.11483,0.0039,0.03891,0.13039,0.18487
7/1/2012,POL,PLN,Poland,9.1,3.46035,2.629791784,12300.126,3.142206734,-0.09994,-0.1895,-0.16123,-0.08737,-0.04339
7/1/2012,RUS,RUB,Russia,75,32.76525,2.289010461,10437.49,3.061715806,-0.19598,-0.27598,-0.25073,-0.18475,-0.14546
7/1/2012,SAU,SAR,Saudi Arabia,10,3.75025,2.666488901,16995.78,3.345122145,-0.14274,-0.22804,-0.20112,-0.13077,-0.08888
7/1/2012,SGP,SGD,Singapore,4.4,1.2585,3.496225665,43116.689,4.473896745,-0.15957,-0.2432,-0.21681,-0.14784,-0.10677
7/1/2012,ZAF,ZAR,South Africa,19.95,8.4683,2.355844739,7157.801,2.919989129,-0.13234,-0.21867,-0.19142,-0.12022,-0.07782
7/1/2012,KOR,KRW,South Korea,3700,1151,3.214596003,20590.962,3.500482363,-0.01239,-0.11066,-0.07965,0.0014,0.04966
7/1/2012,SWE,SEK,Sweden,39.97301987,6.9777,5.728681352,48874.608,4.722716291,0.30451,0.17471,0.21568,0.32273,0.38648
7/1/2012,CHE,CHF,Switzerland,6.5,0.9906,6.56167979,67245.997,5.516607394,0.27917,0.15189,0.19206,0.29704,0.35954
7/1/2012,TWN,TWD,Taiwan,75,30.1955,2.483813813,18457.752,3.408298999,-0.21627,-0.29425,-0.26964,-0.20532,-0.16703
7/1/2012,THA,THB,Thailand,82,31.7,2.586750789,4991.525,2.826376869,-0.01574,-0.11368,-0.08277,-0.00199,0.0461
7/1/2012,TUR,TRY,Turkey,8.25,1.8269,4.515846516,10398.685,3.060038908,0.58708,0.42916,0.479,0.60924,0.68679
7/1/2012,USA,USD,United States,4.3275,1,4.3275,47283.633,4.653964772,0,-0.0995,-0.0681,0.01397,0.06283
1/1/2013,ARG,ARS,Argentina,19,4.9765,3.817944338,10959.082,3.256147146,0.31584,0.09142,0.23714,0.5993,0.3731
1/1/2013,AUS,AUD,Australia,4.7,0.959094615,4.900454998,66371.218,5.69545441,-0.03443,-0.1991,-0.09218,0.17358,0.00759
1/1/2013,BRA,BRL,Brazil,11.25,1.99335,5.64376552,12788.551,3.336682519,0.89815,0.57443,0.78462,1.30706,0.98076
1/1/2013,GBR,GBP,Britain,2.69,0.633211968,4.248182498,38811.424,4.482239931,0.06362,-0.11778,0,0.29275,0.1099
1/1/2013,CAN,CAD,Canada,5.41,1.0029,5.394356367,50496.043,4.996610574,0.21155,0.00492,0.13908,0.47255,0.26427
1/1/2013,CHL,CLP,Chile,2050,471.75,4.345521993,14403.111,3.407757345,0.43103,0.18697,0.34544,0.73931,0.49331
1/1/2013,CHN,CNY,China,16,6.2204,2.572181853,5416.668,3.012163577,-0.0417,-0.20514,-0.09902,0.16474,0
1/1/2013,COL,COP,Colombia,8600,1773.175,4.850057101,7114.33,3.08689665,0.7632,0.46249,0.65774,1.14304,0.83993
1/1/2013,CZE,CZK,Czech Republic,70.33,18.89495,3.722158566,20435.875,3.673326697,0.13714,-0.0568,0.06912,0.3821,0.18662
1/1/2013,DNK,DKK,Denmark,28.5,5.49795,5.183750307,59708.962,5.402174081,0.07684,-0.10681,0.01244,0.30882,0.12371
1/1/2013,EGY,EGP,Egypt,16,6.68575,2.393149609,2931.827,2.902777959,-0.07481,-0.2326,-0.13014,0.1245,-0.03454
1/1/2013,EUZ,EUR,Euro area,3.594849572,0.736946829,4.878031129,40137.01059,4.540593809,0.20562,0,0.13351,0.46533,0.25808
1/1/2013,HKG,HKD,Hong Kong,17,7.7591,2.190975757,34259.337,4.281851719,-0.42577,-0.52371,-0.46012,-0.30207,-0.40078
1/1/2013,HUN,HUF,Hungary,830,217.46935,3.816629792,14050.009,3.39221338,0.26262,0.04729,0.1871,0.53462,0.31757
1/1/2013,IND,INR,India,89,53.395,1.666822736,1513.618,2.840346735,-0.34144,-0.45376,-0.38083,-0.19957,-0.31278
1/1/2013,IDN,IDR,Indonesia,27939,9767.5,2.860404402,3511.799,2.928309008,0.09619,-0.09076,0.03063,0.33234,0.1439
1/1/2013,ISR,ILS,Israel,14.9,3.72455,4.00048328,32350.817,4.197836428,0.06946,-0.11294,0.00549,0.29985,0.116
1/1/2013,JPN,JPY,Japan,320,91.065,3.513973535,45869.72,4.792954405,-0.17724,-0.31756,-0.22645,0,-0.14144
1/1/2013,MYS,MYR,Malaysia,7.95,3.083,2.578657152,10084.608,3.217651774,-0.10064,-0.25403,-0.15444,0.0931,-0.06151
1/1/2013,MEX,MXN,Mexico,37,12.7384,2.904603404,10146.041,3.220356127,0.01218,-0.16044,-0.04836,0.23023,0.05623
1/1/2013,NZL,NZD,New Zealand,5.2,1.202428906,4.324580001,35973.02,4.357290056,0.11379,-0.07616,0.04718,0.35373,0.16226
1/1/2013,NOR,NOK,Norway,43,5.4831,7.842279003,97607.32,7.070504282,0.24471,0.03243,0.17026,0.51285,0.29888
1/1/2013,PAK,PKR,Pakistan,290,97.665,2.969333948,1199.111,2.826501767,0.17893,-0.02214,0.10841,0.4329,0.23023
1/1/2013,PER,PEN,Peru,10,2.5595,3.907013088,5904.494,3.03363825,0.4453,0.19881,0.35885,0.75665,0.5082
1/1/2013,PHL,PHP,Philippines,118,40.6,2.906403941,2344.889,2.87694026,0.13371,-0.05964,0.0659,0.37794,0.18305
1/1/2013,POL,PLN,Poland,9.1,3.092,2.943078913,13468.655,3.366621495,-0.01897,-0.18628,-0.07764,0.19237,0.02373
1/1/2013,RUS,RUB,Russia,72.88,30.045,2.425694791,12993.358,3.345698363,-0.18637,-0.32513,-0.23504,-0.0111,-0.15096
1/1/2013,SAU,SAR,Saudi Arabia,11,3.7502,2.933176897,21196.287,3.706800926,-0.11199,-0.26344,-0.16511,0.0793,-0.07335
1/1/2013,SGP,SGD,Singapore,4.5,1.23485,3.644167308,49270.872,4.942677108,-0.17261,-0.31372,-0.22209,0.00564,-0.1366
1/1/2013,ZAF,ZAR,South Africa,20.9,9.047,2.310158063,8078.451,3.129338388,-0.17155,-0.31284,-0.2211,0.00692,-0.1355
